InvoiceID,SupplierID,POID,InvoiceDate,Amount,AmountEUR,Status,Currency,EUR_PLN,EUR_USD,FX_to_EUR_Inv,PaymentID,PaymentDate,PaymentAmount,PaymentAmountEUR
INV700038,172,PO700038,2024-11-11,302767.13,68676.48,Matched,PLN,4.4086,1.1136,0.2268293789411604,PAY700038,2024-12-11,302767.13,71127.19
INV700039,202,PO700039,2022-08-19,206714.16,206714.16,Matched,EUR,4.2908,1.093,1.0,PAY700039,2022-10-03,206714.16,206714.16
INV700040,27,PO700040,2024-06-29,84515.63,84515.63,Matched,EUR,4.2516,1.103,1.0,PAY700040,2024-08-06,84515.63,84515.63
INV700041,139,PO700041,2023-06-10,487423.35,113977.17,Matched,PLN,4.2765,1.1043,0.2338360809072839,PAY700041,2023-08-02,487423.35,114612.34
INV700042,88,PO700042,2023-09-05,200796.2,200796.2,Matched,EUR,4.2932,1.1253,1.0,PAY700042,2023-10-21,200796.2,200796.2
INV700043,118,PO700043,2023-12-24,195247.66,45112.68,Matched,PLN,4.328,1.0923,0.2310536044362292,PAY700043,2024-01-27,195247.66,46394.75
INV700044,125,PO700044,2025-03-22,632007.4,,Matched,PLN,,,,PAY700044,2025-05-09,632007.4,
INV700045,152,PO700045,2022-04-01,218193.02,51351.62,Matched,PLN,4.249,1.1156,0.2353494939985879,PAY700045,2022-05-24,218193.02,50664.8
INV700046,56,PO700046,2022-10-18,1045942.29,244756.47,Matched,PLN,4.2734,1.1153,0.2340057097393176,PAY700046,2022-12-02,1045942.29,243282.0
INV700047,96,PO700047,2025-01-16,1316249.74,,Matched,PLN,,,,PAY700047,,,
INV700048,187,PO700048,2022-11-09,136545.79,136545.79,Matched,EUR,4.2519,1.1112,1.0,PAY700048,2023-01-10,136545.79,136545.79
INV700049,150,PO700049,2022-05-22,43393.09,43393.09,Mismatch,EUR,4.2389,1.0832,1.0,PAY700049,2022-06-29,43393.09,43393.09
INV700050,105,PO700050,2024-02-29,32161.28,7504.67,Matched,PLN,4.2855,1.0859,0.2333450005833625,PAY700050,2024-04-17,32161.28,7502.75
INV700051,6,PO700051,2022-08-08,1069732.68,248065.46,Matched,PLN,4.3123,1.0886,0.2318948125130441,PAY700051,2022-09-11,1069732.68,252349.01
INV700052,228,PO700052,2024-12-04,105447.2,24811.11,Matched,PLN,4.25,1.1032,0.2352941176470588,PAY700052,2025-01-09,105447.2,
INV700053,127,PO700053,2023-03-12,87442.17,20525.85,Matched,PLN,4.2601,1.0663,0.2347362737963897,PAY700053,2023-04-08,87442.17,20407.53
INV700054,61,PO700054,2023-10-20,150932.3,140180.46,Mismatch,USD,4.2704,1.0767,0.9287638153617536,PAY700054,2023-12-08,150932.3,140076.38
INV700055,11,PO700055,2023-09-12,191752.68,191752.68,Matched,EUR,4.2651,1.0671,1.0,PAY700055,2023-10-30,191752.68,191752.68
INV700056,232,PO700056,2022-08-24,910553.01,211427.08,Matched,PLN,4.3067,1.12,0.232196345229526,PAY700056,2022-10-05,910553.01,216437.61
INV700057,102,PO700057,2023-04-25,217433.19,217433.19,Matched,EUR,4.2174,1.0928,1.0,PAY700057,2023-05-27,217433.19,217433.19
INV700059,158,PO700059,2023-09-28,376455.66,88286.97,Matched,PLN,4.264,1.0686,0.2345215759849906,PAY700059,2023-10-26,376455.66,88515.32
INV700060,67,PO700060,2024-11-06,833765.58,197453.13,Matched,PLN,4.2226,1.115,0.2368209160233031,PAY700060,2024-12-28,833765.58,192284.68
INV700062,141,PO700062,2023-09-04,205903.82,205903.82,Matched,EUR,4.3792,1.0629,1.0,PAY700062,2023-10-05,205903.82,205903.82
INV700063,174,PO700063,2024-09-07,125588.61,125588.61,Mismatch,EUR,4.2729,1.0961,1.0,PAY700063,2024-11-14,125588.61,125588.61
INV700064,98,PO700064,2025-02-11,83414.96,,Matched,PLN,,,,PAY700064,2025-03-25,83414.96,
INV700065,234,PO700065,2023-04-28,539469.44,125213.41,Matched,PLN,4.3084,1.0846,0.2321047256522143,PAY700065,2023-05-27,539469.44,126023.65
INV700066,216,PO700066,2022-04-17,121930.73,121930.73,Matched,EUR,4.2798,1.1181,1.0,PAY700066,2022-06-09,121930.73,121930.73
INV700067,35,PO700067,2023-03-05,268391.56,62658.53,Matched,PLN,4.2834,1.077,0.2334594014100947,PAY700067,2023-04-22,268391.56,61820.01
INV700068,196,PO700068,2023-08-27,5874.87,5874.87,Matched,EUR,4.2441,1.0689,1.0,PAY700068,2023-10-18,5874.87,5874.87
INV700070,205,PO700070,2024-10-04,50564.12,45553.26,Mismatch,USD,4.2653,1.11,0.9009009009009008,PAY700070,2024-11-26,50564.12,46333.84
INV700071,139,PO700071,2024-02-22,890724.06,202124.91,Matched,PLN,4.4068,1.0996,0.2269220295906326,PAY700071,2024-04-03,890724.06,207603.79
INV700072,135,PO700072,2023-06-18,145975.44,145975.44,Matched,EUR,4.138,1.0912,1.0,PAY700072,2023-07-21,145975.44,145975.44
INV700073,250,PO700073,2023-02-11,63807.52,14893.68,Matched,PLN,4.2842,1.0723,0.2334158069184445,PAY700073,2023-04-11,63807.52,14852.43
INV700074,160,PO700074,2022-12-21,247263.35,247263.35,Matched,EUR,4.2636,1.0726,1.0,PAY700074,2023-02-12,247263.35,247263.35
INV700075,170,PO700075,2024-04-04,184035.37,184035.37,Matched,EUR,4.2747,1.0903,1.0,PAY700075,2024-05-27,184035.37,184035.37
INV700076,12,PO700076,2024-02-11,186043.64,43515.93,Matched,PLN,4.2753,1.0926,0.2339017144995673,PAY700076,2024-03-21,186043.64,43641.48
INV700077,156,PO700077,2023-05-19,114499.25,114499.25,Matched,EUR,4.3392,1.1089,1.0,PAY700077,2023-07-16,114499.25,114499.25
INV700078,50,PO700078,2023-07-14,183227.34,183227.34,Matched,EUR,4.2881,1.0707,1.0,PAY700078,2023-08-24,183227.34,183227.34
INV700081,247,PO700081,2023-11-15,658817.46,156143.78,Matched,PLN,4.2193,1.0923,0.2370061384589861,PAY700081,2024-01-14,658817.46,151878.25
INV700082,134,PO700082,2023-10-17,282534.33,66633.88,Matched,PLN,4.2401,1.0629,0.2358434942572109,PAY700082,2023-11-21,282534.33,66289.93
INV700083,31,PO700083,2022-09-01,205942.46,47744.81,Mismatch,PLN,4.3134,1.0711,0.2318356748736495,PAY700083,2022-09-26,205942.46,47509.1
INV700085,82,PO700085,2022-07-27,164178.43,164178.43,Matched,EUR,4.2485,1.0919,1.0,PAY700085,2022-09-06,164178.43,164178.43
INV700086,65,PO700086,2022-08-04,242305.14,56718.04,Matched,PLN,4.2721,1.0817,0.234076917675148,PAY700086,2022-09-06,242305.14,56158.05
INV700087,33,PO700087,2022-12-21,857722.18,201173.23,Matched,PLN,4.2636,1.0726,0.2345435781968289,PAY700087,2023-01-19,857722.18,202073.74
INV700088,61,PO700088,2024-06-07,106043.51,96228.23,Matched,USD,4.3751,1.102,0.9074410163339384,PAY700088,2024-07-23,106043.51,95483.08
INV700089,245,PO700089,2024-10-05,799785.52,185139.82,Matched,PLN,4.3199,1.0935,0.2314868399731475,PAY700089,2024-12-14,799785.52,187505.4
INV700090,133,PO700090,2024-04-25,133405.39,133405.39,Matched,EUR,4.3154,1.1074,1.0,PAY700090,,,
INV700091,95,PO700091,2024-01-03,41309.85,9650.48,Matched,PLN,4.2806,1.0609,0.2336121104518058,PAY700091,2024-02-10,41309.85,9495.64
INV700092,33,PO700092,2025-03-14,817072.11,,Matched,PLN,,,,PAY700092,,,
INV700093,7,PO700093,2024-03-04,247288.14,247288.14,Matched,EUR,4.2753,1.1105,1.0,PAY700093,2024-03-31,247288.14,247288.14
INV700094,133,PO700094,2022-04-12,26598.92,26598.92,Matched,EUR,4.2737,1.1134,1.0,PAY700094,2022-06-08,26598.92,26598.92
INV700095,205,PO700095,2024-07-22,253379.24,240877.69,Matched,USD,4.3162,1.0519,0.950660709192889,PAY700095,2024-09-15,253379.24,231819.98
INV700096,14,PO700096,2022-10-07,6250.78,6250.78,Matched,EUR,4.2864,1.0914,1.0,PAY700096,2022-11-01,6250.78,6250.78
INV700097,71,PO700097,2025-01-02,37483.24,37483.24,Matched,EUR,,,1.0,PAY700097,2025-02-01,37483.24,
INV700098,41,PO700098,2024-02-24,38119.7,38119.7,Matched,EUR,4.1975,1.0795,1.0,PAY700098,,,
INV700099,173,PO700099,2024-02-14,377093.65,87209.45,Matched,PLN,4.324,1.0873,0.2312673450508788,PAY700099,2024-03-27,377093.65,89153.76
INV700100,10,PO700100,2024-08-05,525480.14,122592.42,Matched,PLN,4.2864,1.0951,0.2332960059723777,PAY700100,2024-09-25,525480.14,122136.51
INV700101,76,PO700101,2024-01-22,135920.35,135920.35,Mismatch,EUR,4.2398,1.1047,1.0,PAY700101,2024-03-11,135920.35,135920.35
INV700102,36,PO700102,2025-02-02,245997.91,245997.91,Matched,EUR,,,1.0,PAY700102,2025-03-15,245997.91,
INV700103,11,PO700103,2023-04-10,38903.28,38903.28,Matched,EUR,4.3159,1.0943,1.0,PAY700103,2023-04-30,38903.28,38903.28
INV700104,235,PO700104,2022-05-06,255138.48,59553.35,Matched,PLN,4.2842,1.1177,0.2334158069184445,PAY700104,2022-06-23,252587.1,59959.91
INV700105,7,PO700105,2024-02-01,219621.12,219621.12,Matched,EUR,4.2407,1.0852,1.0,PAY700105,,,
INV700106,59,PO700106,2022-03-30,1831204.34,432285.44,Matched,PLN,4.2361,1.0935,0.2360661929605061,PAY700106,2022-05-23,1831204.34,430608.18
INV700107,198,PO700107,2022-08-16,401030.92,94437.99,Matched,PLN,4.2465,1.116,0.2354880489815141,PAY700107,2022-09-23,401030.92,93997.5
INV700108,34,PO700108,2022-03-24,110193.38,99849.02,Matched,USD,4.3189,1.1036,0.9061254077564336,PAY700108,2022-05-13,110193.38,99353.87
INV700109,75,PO700109,2024-09-12,138766.35,138766.35,Matched,EUR,4.3022,1.0663,1.0,PAY700109,2024-11-07,138766.35,138766.35
INV700110,26,PO700110,2022-06-19,757868.81,177204.64,Matched,PLN,4.2768,1.1057,0.2338196782641227,PAY700110,2022-08-18,757868.81,178687.86
INV700111,36,PO700111,2023-03-24,191130.25,191130.25,Matched,EUR,4.2574,1.1052,1.0,PAY700111,2023-04-26,191130.25,191130.25
INV700112,69,PO700112,2022-03-01,183068.06,42729.98,Matched,PLN,4.2843,1.0814,0.2334103587517214,PAY700112,2022-04-19,183068.06,43171.34
INV700113,89,PO700113,2023-08-05,73257.45,66314.34,Matched,USD,4.2107,1.1047,0.9052231375033946,PAY700113,2023-09-22,73257.45,66332.35
INV700114,250,PO700114,2024-10-03,2683.18,624.94,Matched,PLN,4.2935,1.1018,0.232910213112845,PAY700114,2024-11-27,2683.18,631.83
INV700115,81,PO700115,2024-01-15,112778.39,112778.39,Matched,EUR,4.2553,1.0813,1.0,PAY700115,2024-03-04,111086.71,111086.71
INV700116,152,PO700116,2023-11-29,487134.98,111897.59,Matched,PLN,4.3534,1.052,0.229705517526531,PAY700116,2024-01-18,487134.98,114493.38
INV700117,47,PO700117,2023-03-23,177181.32,177181.32,Matched,EUR,4.2329,1.117,1.0,PAY700117,2023-05-05,173637.69,173637.69
INV700118,221,PO700118,2023-12-31,924019.29,217631.37,Matched,PLN,4.2458,1.1042,0.2355268736162796,PAY700118,2024-02-21,924019.29,214938.19
INV700119,147,PO700119,2023-03-04,109661.36,109661.36,Matched,EUR,4.2528,1.07,1.0,PAY700119,2023-04-25,109661.36,109661.36
INV700120,3,PO700120,2024-01-22,88910.19,88910.19,Matched,EUR,4.2398,1.1047,1.0,PAY700120,2024-03-08,88910.19,88910.19
INV700121,235,PO700121,2023-09-20,355575.99,82066.1,Matched,PLN,4.3328,1.1222,0.2307976366322009,PAY700121,2023-10-28,355575.99,83460.71
INV700122,244,PO700122,2022-12-13,119153.14,119153.14,Matched,EUR,4.1871,1.0805,1.0,PAY700122,2023-01-26,119153.14,119153.14
INV700123,219,PO700123,2022-12-15,99955.17,99955.17,Matched,EUR,4.2931,1.0892,1.0,PAY700123,2023-02-03,99955.17,99955.17
INV700124,101,PO700124,2022-07-18,182346.99,182346.99,Matched,EUR,4.3304,1.123,1.0,PAY700124,2022-09-13,182346.99,182346.99
INV700125,83,PO700125,2025-03-16,6496.66,6496.66,Matched,EUR,,,1.0,PAY700125,2025-04-16,6496.66,
INV700126,12,PO700126,2022-09-04,39612.3,9130.2,Matched,PLN,4.3386,1.0662,0.2304890978656709,PAY700126,,,
INV700127,190,PO700127,2024-04-01,775901.43,181166.86,Mismatch,PLN,4.2828,1.1107,0.2334921079667507,PAY700127,2024-05-31,775901.43,184063.54
INV700128,97,PO700128,2022-03-19,2873.85,2873.85,Matched,EUR,4.3119,1.1051,1.0,PAY700128,2022-05-16,2873.85,2873.85
INV700129,78,PO700129,2023-08-16,511995.36,119538.5,Matched,PLN,4.2831,1.0904,0.2334757535429945,PAY700129,2023-09-18,511995.36,121222.5
INV700130,74,PO700130,2025-01-07,268044.31,,Matched,PLN,,,,PAY700130,,,
INV700132,143,PO700132,2022-08-02,912343.29,211552.96,Matched,PLN,4.3126,1.1159,0.231878681074062,PAY700132,2022-09-14,912343.29,210377.31
INV700133,240,PO700133,2023-10-24,1010666.41,237770.29,Matched,PLN,4.2506,1.0767,0.2352609043429162,PAY700133,2023-11-27,1010666.41,241209.17
INV700134,210,PO700134,2023-03-02,5868.87,1344.47,Matched,PLN,4.3652,1.0761,0.2290845780262073,PAY700134,,,
INV700135,157,PO700135,2022-09-24,525127.64,123018.16,Matched,PLN,4.2687,1.1181,0.2342633588680394,PAY700135,2022-11-16,525127.64,122842.62
INV700136,244,PO700136,2023-08-31,46729.01,46729.01,Matched,EUR,4.2576,1.0591,1.0,PAY700136,2023-10-05,46729.01,46729.01
INV700137,10,PO700137,2023-01-26,973171.87,229705.87,Matched,PLN,4.2366,1.0627,0.2360383326252183,PAY700137,2023-03-02,973171.87,222938.67
INV700138,142,PO700138,2023-08-10,117024.73,27182.81,Mismatch,PLN,4.3051,1.0723,0.2322826415181993,PAY700138,2023-09-27,117024.73,27253.08
INV700139,36,PO700139,2023-05-22,58349.28,58349.28,Mismatch,EUR,4.2669,1.0782,1.0,PAY700139,2023-06-28,58349.28,58349.28
INV700140,83,PO700140,2022-05-07,15570.0,15570.0,Matched,EUR,4.2244,1.1136,1.0,PAY700140,2022-06-06,15570.0,15570.0
INV700141,186,PO700141,2024-09-24,298349.97,68863.24,Matched,PLN,4.3325,1.0827,0.2308136180034622,PAY700141,2024-11-05,298349.97,69216.31
INV700142,194,PO700142,2024-12-20,279274.46,64072.88,Matched,PLN,4.3587,1.1151,0.229426205061142,PAY700142,2025-02-03,279274.46,
INV700143,4,PO700143,2023-12-21,650879.18,152445.0,Matched,PLN,4.2696,1.1111,0.2342139778902005,PAY700143,2024-02-05,650879.18,152502.15
INV700144,194,PO700144,2023-11-20,340467.34,78401.73,Matched,PLN,4.3426,1.0734,0.2302767927048312,PAY700144,2024-01-17,340467.34,79457.48
INV700145,110,PO700145,2022-10-19,55560.87,55560.87,Matched,EUR,4.2448,1.1045,1.0,PAY700145,2022-12-26,55560.87,55560.87
INV700146,228,PO700146,2022-10-09,766470.34,178718.57,Matched,PLN,4.2887,1.0948,0.2331708909459743,PAY700146,,,
INV700147,33,PO700147,2023-03-20,254292.82,58350.81,Matched,PLN,4.358,1.1032,0.2294630564479119,PAY700147,2023-04-17,254292.82,58155.98
INV700148,185,PO700148,2022-05-27,494381.29,117813.62,Matched,PLN,4.1963,1.0978,0.2383051736053189,PAY700148,2022-06-27,494381.29,115596.07
INV700149,60,PO700149,2022-05-26,85065.72,75755.38,Matched,USD,4.2651,1.1229,0.890551251224508,PAY700149,2022-06-24,85065.72,77763.71
INV700150,83,PO700150,2024-03-30,145653.85,145653.85,Matched,EUR,4.3556,1.0821,1.0,PAY700150,2024-05-10,145653.85,145653.85
INV700151,103,PO700151,2024-05-24,403386.56,93096.37,Mismatch,PLN,4.333,1.0924,0.2307869836141241,PAY700151,2024-07-14,399352.69,92438.47
INV700152,137,PO700152,2024-06-27,197920.4,45904.17,Mismatch,PLN,4.3116,1.1008,0.2319324612672789,PAY700152,2024-08-13,197920.4,46113.79
INV700153,53,PO700153,2024-03-04,965125.99,225744.62,Matched,PLN,4.2753,1.1105,0.2339017144995673,PAY700153,2024-04-11,965125.99,226597.95
INV700154,232,PO700154,2022-04-02,980832.47,230691.83,Matched,PLN,4.2517,1.091,0.235200037632006,PAY700154,2022-05-06,980832.47,228941.8
INV700156,3,PO700156,2023-02-28,10730.51,10730.51,Matched,EUR,4.2427,1.1126,1.0,PAY700156,2023-04-22,10730.51,10730.51
INV700157,195,PO700157,2023-08-23,68490.74,16011.49,Matched,PLN,4.2776,1.0952,0.2337759491303535,PAY700157,2023-10-02,68490.74,15911.8
INV700158,40,PO700158,2022-05-20,133340.39,133340.39,Matched,EUR,4.3524,1.1091,1.0,PAY700158,2022-07-17,133340.39,133340.39
INV700159,172,PO700159,2022-08-26,871812.54,206087.64,Matched,PLN,4.2303,1.0881,0.23638985414746,PAY700159,2022-10-05,871812.54,207229.03
INV700160,72,PO700160,2023-08-23,190232.16,190232.16,Matched,EUR,4.2776,1.0952,1.0,PAY700160,2023-10-24,190232.16,190232.16
INV700161,71,PO700161,2022-05-15,22217.28,22217.28,Matched,EUR,4.2466,1.0996,1.0,PAY700161,2022-06-17,22217.28,22217.28
INV700162,110,PO700162,2022-09-01,43185.0,43185.0,Matched,EUR,4.3134,1.0711,1.0,PAY700162,2022-10-15,43185.0,43185.0
INV700163,3,PO700163,2024-03-22,130864.4,130864.4,Matched,EUR,4.2424,1.0866,1.0,PAY700163,2024-04-29,130864.4,130864.4
INV700164,52,PO700164,2023-05-21,119020.77,119020.77,Matched,EUR,4.2275,1.0695,1.0,PAY700164,2023-06-29,119020.77,119020.77
INV700165,229,PO700165,2023-10-18,39893.93,39893.93,Matched,EUR,4.2664,1.0947,1.0,PAY700165,2023-11-22,39893.93,39893.93
INV700166,121,PO700166,2024-04-05,287366.2,270131.79,Matched,USD,4.2874,1.0638,0.9400263207369806,PAY700166,2024-05-14,287366.2,265146.89
INV700168,141,PO700168,2023-02-16,129736.49,129736.49,Matched,EUR,4.2797,1.0782,1.0,PAY700168,2023-04-17,129736.49,129736.49
INV700169,232,PO700169,2022-06-14,138228.6,32119.3,Matched,PLN,4.3036,1.0935,0.2323636025652941,PAY700169,2022-07-20,138228.6,33055.6
INV700170,215,PO700170,2024-11-22,233926.83,54414.24,Matched,PLN,4.299,1.1113,0.2326122354035822,PAY700170,,,
INV700171,99,PO700171,2022-06-18,75793.65,75793.65,Matched,EUR,4.3098,1.1034,1.0,PAY700171,2022-08-08,75793.65,75793.65
INV700172,84,PO700172,2023-04-17,182126.35,41651.73,Matched,PLN,4.3726,1.0509,0.2286968851484242,PAY700172,2023-06-12,182126.35,42592.69
INV700173,172,PO700173,2022-07-15,647584.34,152240.25,Matched,PLN,4.2537,1.1099,0.2350894515363095,PAY700173,2022-09-15,647584.34,151844.01
INV700174,248,PO700174,2022-06-03,357411.63,83474.23,Matched,PLN,4.2817,1.132,0.2335520937945208,PAY700174,2022-07-13,357411.63,83369.09
INV700175,124,PO700175,2022-06-15,34856.4,32765.93,Matched,USD,4.2165,1.0638,0.9400263207369806,PAY700175,2022-07-31,34856.4,31413.48
INV700176,48,PO700176,2022-09-08,24367.81,24367.81,Matched,EUR,4.3226,1.0961,1.0,PAY700176,2022-10-10,24367.81,24367.81
INV700177,79,PO700177,2023-06-23,191398.98,172820.75,Matched,USD,4.302,1.1075,0.9029345372460498,PAY700177,2023-08-05,191398.98,173258.79
INV700178,134,PO700178,2024-10-03,649433.81,151259.77,Matched,PLN,4.2935,1.1018,0.232910213112845,PAY700178,2024-11-07,649433.81,149542.65
INV700179,47,PO700179,2024-10-11,45515.97,45515.97,Matched,EUR,4.2993,1.103,1.0,PAY700179,2024-12-07,45515.97,45515.97
INV700180,176,PO700180,2024-06-03,458441.98,106950.19,Matched,PLN,4.2865,1.0936,0.2332905633967106,PAY700180,2024-07-18,458441.98,108069.58
INV700182,155,PO700182,2022-03-30,23379.69,21380.6,Matched,USD,4.2361,1.0935,0.9144947416552356,PAY700182,2022-05-13,23379.69,21079.88
INV700183,81,PO700183,2022-10-18,292427.62,292427.62,Matched,EUR,4.2734,1.1153,1.0,PAY700183,2022-12-19,292427.62,292427.62
INV700184,229,PO700184,2023-12-28,36659.29,36659.29,Matched,EUR,4.2983,1.1267,1.0,PAY700184,2024-02-17,36659.29,36659.29
INV700185,148,PO700185,2024-10-24,326176.09,77201.44,Mismatch,PLN,4.225,1.1135,0.2366863905325444,PAY700185,2024-12-01,326176.09,75950.28
INV700186,250,PO700186,2023-07-18,658142.14,153599.27,Matched,PLN,4.2848,1.1131,0.2333831217326363,PAY700186,2023-08-10,658142.14,152874.99
INV700187,214,PO700187,2022-06-19,54514.97,54514.97,Matched,EUR,4.2768,1.1057,1.0,PAY700187,2022-08-14,54514.97,54514.97
INV700188,118,PO700188,2023-08-06,162644.61,38175.01,Matched,PLN,4.2605,1.0897,0.2347142354183781,PAY700188,2023-09-24,161018.16,37680.05
INV700189,113,PO700189,2024-03-23,336265.46,77412.74,Matched,PLN,4.3438,1.1037,0.2302131774022745,PAY700189,2024-04-24,336265.46,78664.11
INV700190,177,PO700190,2022-11-06,30321.06,30321.06,Matched,EUR,4.2881,1.0698,1.0,PAY700190,2022-12-29,30321.06,30321.06
INV700191,225,PO700191,2024-03-12,37473.12,35202.56,Matched,USD,4.3031,1.0645,0.9394081728511038,PAY700191,2024-04-13,37473.12,34492.93
INV700192,243,PO700192,2024-12-31,377981.2,86860.28,Matched,PLN,4.3516,1.0779,0.2298005331372368,PAY700192,2025-02-16,377981.2,
INV700193,24,PO700193,2022-07-10,777495.08,179746.87,Matched,PLN,4.3255,1.1137,0.2311871459946827,PAY700193,2022-08-10,777495.08,185723.69
INV700194,77,PO700194,2022-10-18,177562.37,177562.37,Matched,EUR,4.2734,1.1153,1.0,PAY700194,2022-12-09,177562.37,177562.37
INV700195,9,PO700195,2024-04-25,114358.68,114358.68,Matched,EUR,4.3154,1.1074,1.0,PAY700195,2024-06-04,114358.68,114358.68
INV700196,78,PO700196,2024-10-23,381852.98,87988.61,Matched,PLN,4.3398,1.0458,0.2304253652242038,PAY700196,2024-12-05,381852.98,89403.9
INV700197,145,PO700197,2023-01-16,93198.41,93198.41,Matched,EUR,4.2998,1.1394,1.0,PAY700197,2023-03-15,93198.41,93198.41
INV700198,250,PO700198,2023-10-15,1048492.94,247554.64,Matched,PLN,4.2354,1.0868,0.236105208480899,PAY700198,2023-11-13,1048492.94,244272.99
