POID,Line,ReceiptDate,QtyReceived,OnTimeFlag
PO700014,2,2023-07-08,122,False
PO700015,1,2022-06-27,108,True
PO700015,2,2022-06-06,70,True
PO700016,1,2024-12-07,19,False
PO700017,1,2023-12-09,17,False
PO700017,2,2024-01-05,64,False
PO700017,3,2023-12-27,56,False
PO700017,4,2023-11-26,111,False
PO700017,5,2023-11-15,113,False
PO700018,1,2023-02-23,2,False
PO700018,1,2023-02-28,2,False
PO700018,2,2023-02-10,22,False
PO700019,1,2023-01-30,18,True
PO700019,2,2023-02-09,2,True
PO700020,1,2024-11-13,221,False
PO700020,2,2024-12-28,7,False
PO700020,3,2024-12-06,83,False
PO700020,4,2025-01-20,111,False
PO700020,5,2024-11-18,15,False
PO700021,1,2022-04-24,138,False
PO700021,2,2022-04-20,34,True
PO700021,2,2022-04-27,41,True
PO700021,3,2022-04-01,80,False
PO700021,4,2022-03-02,13,False
PO700021,5,2022-03-15,7,False
PO700022,1,2024-11-06,53,True
PO700022,2,2024-10-22,3,True
PO700022,3,2024-11-29,149,False
PO700022,4,2024-11-27,16,False
PO700022,4,2024-12-05,16,False
PO700023,1,2022-02-28,21,True
PO700023,2,2022-03-23,31,False
PO700023,3,2022-03-29,7,True
PO700023,4,2022-03-02,45,True
PO700023,5,2022-01-30,1,True
PO700023,6,2022-01-30,1,False
PO700024,1,2022-12-20,23,False
PO700025,1,2022-09-05,131,True
PO700025,2,2022-10-04,30,False
PO700025,3,2022-10-13,14,False
PO700026,1,2024-06-24,43,False
PO700027,1,2023-01-06,8,False
PO700027,2,2023-03-08,9,False
PO700027,3,2022-12-28,73,False
PO700027,4,2023-01-27,44,False
PO700027,5,2023-03-04,96,False
PO700028,1,2023-05-01,13,True
PO700028,2,2023-04-23,20,False
PO700029,1,2023-09-24,72,False
PO700029,2,2023-09-20,7,True
PO700030,1,2025-01-14,23,True
PO700030,2,2025-04-01,31,False
PO700030,3,2025-02-21,114,False
PO700030,4,2025-02-18,26,False
PO700031,1,2023-07-12,63,True
PO700031,2,2023-07-01,9,False
PO700031,2,2023-07-05,11,False
PO700031,3,2023-06-20,23,True
PO700031,3,2023-06-23,13,True
PO700031,4,2023-06-09,2,False
PO700031,5,2023-07-04,59,True
PO700032,1,2024-02-14,8,True
PO700032,1,2024-02-15,9,True
PO700032,2,2024-02-24,29,False
PO700032,3,2024-01-03,26,True
PO700032,4,2024-02-17,116,False
PO700032,5,2024-01-13,59,True
PO700032,6,2024-02-09,16,False
PO700033,1,2022-05-05,12,False
PO700033,2,2022-03-05,7,False
PO700033,2,2022-03-07,5,False
PO700033,3,2022-04-09,12,False
PO700033,3,2022-04-11,8,False
PO700033,4,2022-04-28,14,False
PO700033,5,2022-03-04,28,True
PO700033,6,2022-03-10,10,False
PO700033,6,2022-03-17,16,False
PO700034,1,2023-01-29,29,True
PO700034,2,2023-01-27,3,False
PO700034,3,2022-12-17,39,False
PO700034,4,2022-11-29,4,True
PO700034,5,2022-12-28,20,True
PO700035,1,2022-08-13,114,False
PO700036,1,2024-08-28,23,True
PO700036,1,2024-09-03,20,True
PO700036,2,2024-08-20,16,False
PO700036,2,2024-08-22,18,False
PO700036,3,2024-08-23,5,False
PO700036,4,2024-09-12,218,False
PO700037,1,2022-03-25,10,False
PO700037,2,2022-02-08,19,True
PO700037,3,2022-04-23,42,False
PO700037,4,2022-02-27,15,True
PO700037,4,2022-03-02,22,True
PO700037,5,2022-04-13,7,True
PO700038,1,2024-10-30,25,True
PO700038,1,2024-11-01,22,True
PO700038,2,2024-11-05,19,True
PO700038,3,2024-10-14,68,True
PO700039,1,2022-08-16,56,True
PO700039,2,2022-08-04,32,True
PO700039,3,2022-06-29,18,False
PO700039,4,2022-07-20,118,True
PO700040,1,2024-05-08,220,False
PO700040,2,2024-06-22,13,False
PO700040,3,2024-04-22,11,True
PO700041,1,2023-04-12,137,True
PO700041,1,2023-04-19,60,True
PO700041,2,2023-04-01,8,True
PO700041,3,2023-05-15,81,False
PO700041,4,2023-05-02,18,True
PO700041,5,2023-05-25,10,False
PO700041,5,2023-06-01,10,False
PO700042,1,2023-07-03,9,True
PO700042,2,2023-08-26,36,False
PO700042,3,2023-07-23,218,False
PO700042,4,2023-07-09,23,False
PO700042,5,2023-08-16,220,False
PO700042,6,2023-09-01,100,True
PO700043,1,2023-12-18,2,False
PO700043,2,2023-11-12,10,True
PO700044,1,2025-02-13,16,False
PO700044,2,2025-03-17,10,False
PO700044,3,2025-02-19,36,True
PO700044,4,2025-01-28,189,True
PO700044,5,2025-02-25,27,False
PO700045,1,2022-03-25,19,False
PO700045,2,2022-02-16,89,False
PO700046,1,2022-08-18,13,True
PO700046,2,2022-09-01,18,True
PO700046,3,2022-08-17,88,True
PO700046,4,2022-08-12,9,False
PO700046,5,2022-10-11,6,False
PO700047,1,2024-12-03,30,True
PO700047,2,2025-01-08,7,True
PO700047,2,2025-01-10,7,True
PO700047,3,2024-11-20,19,False
PO700047,4,2024-11-23,20,True
PO700047,4,2024-11-28,13,True
PO700047,5,2025-01-15,116,True
PO700047,6,2024-12-29,137,False
PO700048,1,2022-10-22,32,False
PO700048,1,2022-10-25,45,False
PO700048,2,2022-11-01,38,True
PO700049,1,2022-05-18,36,False
PO700050,1,2024-02-21,64,True
PO700051,1,2022-07-01,4,True
PO700051,1,2022-07-06,5,True
PO700051,2,2022-07-10,9,True
PO700051,2,2022-07-18,5,True
PO700051,3,2022-07-02,15,False
PO700051,4,2022-07-07,107,True
PO700051,5,2022-08-03,141,True
PO700051,6,2022-06-20,33,True
PO700052,1,2024-11-26,8,True
PO700053,1,2023-02-26,9,True
PO700053,2,2023-03-08,2,False
PO700053,3,2023-02-03,86,False
PO700054,1,2023-09-20,11,False
PO700054,2,2023-09-14,2,True
PO700054,3,2023-08-30,40,True
PO700054,4,2023-10-01,177,False
PO700054,5,2023-10-14,31,False
PO700055,1,2023-08-02,119,True
PO700055,2,2023-09-01,15,False
PO700055,2,2023-09-05,15,False
PO700055,3,2023-07-04,13,True
PO700055,4,2023-08-22,208,False
PO700056,1,2022-07-08,2,False
PO700056,2,2022-07-12,43,True
PO700056,2,2022-07-20,31,True
PO700056,3,2022-06-16,4,True
PO700056,4,2022-08-06,21,True
PO700056,5,2022-08-12,172,False
PO700056,6,2022-08-16,17,True
PO700057,1,2023-03-31,9,True
PO700057,1,2023-04-07,10,True
PO700057,2,2023-04-18,33,True
PO700057,3,2023-04-24,22,False
PO700057,4,2023-04-13,19,False
PO700057,5,2023-04-06,21,False
PO700057,6,2023-04-25,15,False
PO700058,1,2022-07-03,38,True
PO700058,2,2022-09-10,32,False
PO700058,3,2022-06-19,43,True
PO700058,4,2022-07-19,10,True
PO700058,4,2022-07-21,6,True
PO700058,5,2022-09-17,39,False
PO700058,6,2022-07-13,46,True
PO700058,6,2022-07-21,25,True
PO700059,1,2023-09-16,11,True
PO700059,2,2023-09-15,13,False
PO700059,3,2023-09-25,27,False
PO700060,1,2024-10-27,239,False
PO700060,2,2024-09-05,102,False
PO700060,3,2024-10-13,4,False
PO700060,3,2024-10-15,3,False
PO700061,1,2022-05-29,14,False
PO700061,2,2022-05-27,4,True
PO700061,2,2022-06-01,3,True
PO700061,3,2022-04-15,14,False
PO700062,1,2023-08-18,88,False
PO700062,2,2023-07-25,10,True
PO700062,2,2023-07-31,4,True
PO700062,3,2023-08-13,12,False
PO700062,4,2023-08-31,12,True
PO700063,1,2024-09-02,20,False
PO700063,2,2024-08-20,72,True
PO700063,3,2024-07-10,96,True
PO700063,4,2024-07-03,34,True
PO700064,1,2025-01-21,16,False
PO700064,2,2025-02-03,28,False
PO700065,1,2023-04-12,3,True
PO700065,2,2023-04-24,33,True
PO700065,3,2023-04-04,11,True
PO700065,4,2023-03-22,30,True
PO700065,5,2023-04-12,7,False
PO700066,1,2022-03-17,24,False
PO700066,1,2022-03-22,21,False
PO700066,2,2022-03-27,14,False
PO700066,2,2022-04-04,9,False
PO700066,3,2022-03-19,9,False
PO700066,4,2022-04-11,33,True
PO700067,1,2022-12-30,2,False
PO700067,2,2023-01-09,4,True
PO700067,3,2022-12-21,122,False
PO700067,4,2023-02-24,13,False
PO700067,5,2023-02-21,4,False
PO700067,6,2023-02-11,16,False
PO700067,6,2023-02-20,12,False
PO700068,1,2023-08-23,60,True
PO700068,1,2023-08-24,72,True
PO700068,2,2023-08-17,1,False
PO700069,1,2022-06-15,29,True
PO700069,2,2022-06-17,150,True
PO700069,3,2022-07-06,238,False
PO700069,4,2022-05-12,1,True
PO700069,5,2022-05-12,15,True
PO700069,5,2022-05-18,7,True
PO700070,1,2024-09-25,8,False
PO700070,2,2024-09-23,18,False
PO700071,1,2024-01-04,59,False
PO700071,2,2024-01-16,34,False
PO700071,2,2024-01-19,45,False
PO700071,3,2024-02-17,19,False
PO700071,4,2024-02-01,142,False
PO700072,1,2023-06-18,61,False
PO700072,2,2023-05-11,70,True
PO700072,3,2023-04-29,14,False
PO700073,1,2023-02-01,28,True
PO700074,1,2022-10-16,109,True
PO700074,2,2022-11-09,21,False
PO700074,3,2022-10-08,55,False
PO700074,4,2022-10-23,14,True
PO700074,5,2022-12-12,7,True
PO700075,1,2024-01-23,33,True
PO700075,2,2024-02-06,12,False
PO700075,3,2024-03-26,33,False
PO700075,4,2024-02-21,26,True
PO700075,5,2024-03-31,180,True
PO700075,6,2024-02-06,131,True
PO700076,1,2024-01-15,22,False
PO700076,2,2023-12-24,9,True
PO700076,3,2024-02-03,2,False
PO700076,3,2024-02-08,3,False
PO700077,1,2023-03-22,14,True
PO700077,2,2023-05-09,9,True
PO700077,2,2023-05-10,14,True
PO700078,1,2023-06-24,15,False
PO700078,2,2023-07-01,2,False
PO700078,2,2023-07-07,4,False
PO700078,3,2023-06-03,102,False
PO700078,4,2023-06-23,22,True
PO700078,5,2023-06-07,120,False
PO700078,5,2023-06-15,111,False
PO700078,6,2023-07-04,12,True
PO700079,1,2022-09-12,26,False
PO700079,2,2022-09-30,15,False
PO700080,1,2023-04-02,61,False
PO700080,2,2023-03-15,37,False
PO700080,3,2023-03-19,10,False
PO700080,3,2023-03-20,10,False
PO700081,1,2023-10-12,5,False
PO700081,2,2023-09-25,3,True
PO700081,3,2023-10-07,3,False
PO700081,4,2023-10-20,16,False
PO700081,5,2023-09-29,4,False
PO700081,6,2023-10-28,17,False
PO700081,6,2023-11-06,12,False
PO700082,1,2023-08-23,2,False
PO700082,1,2023-08-31,3,False
PO700082,2,2023-08-04,29,False
PO700082,3,2023-10-07,259,False
PO700083,1,2022-08-23,14,True
PO700083,2,2022-08-11,18,True
PO700084,1,2023-12-12,31,True
PO700084,2,2024-01-01,86,True
PO700084,3,2023-10-31,17,False
PO700084,4,2024-01-07,7,False
PO700084,5,2023-11-12,45,True
PO700084,5,2023-11-16,35,True
PO700085,1,2022-06-05,102,True
PO700085,1,2022-06-08,125,True
PO700085,2,2022-06-17,24,False
PO700085,2,2022-06-22,29,False
PO700085,3,2022-07-26,17,False
PO700085,4,2022-06-01,64,False
PO700085,5,2022-07-16,238,True
PO700085,6,2022-06-05,31,True
PO700086,1,2022-07-29,11,False
PO700086,2,2022-06-18,33,True
PO700087,1,2022-12-13,18,False
PO700087,2,2022-12-10,60,False
PO700087,3,2022-12-14,74,False
PO700087,4,2022-12-02,86,False
PO700088,1,2024-05-19,4,True
PO700088,1,2024-05-27,1,True
PO700088,2,2024-06-07,32,False
PO700088,3,2024-04-08,19,True
PO700088,4,2024-05-23,37,True
PO700089,1,2024-09-02,156,False
PO700089,2,2024-08-07,22,True
PO700089,3,2024-08-28,155,True
PO700089,4,2024-09-28,92,True
PO700089,5,2024-09-07,22,False
PO700090,1,2024-03-03,9,False
PO700090,2,2024-03-10,6,True
PO700090,2,2024-03-11,5,True
PO700090,3,2024-03-21,156,False
PO700090,4,2024-03-14,42,True
PO700090,5,2024-04-20,19,False
PO700091,1,2023-12-25,5,True
PO700092,1,2025-01-06,18,True
PO700092,1,2025-01-09,20,True
PO700092,2,2025-02-17,14,False
PO700092,3,2025-02-04,118,False
PO700092,4,2025-01-15,23,True
PO700092,5,2025-03-04,179,True
PO700092,6,2025-02-26,10,False
PO700092,6,2025-02-28,11,False
PO700093,1,2024-02-09,22,False
PO700093,2,2024-01-08,9,True
PO700093,3,2024-02-18,110,False
PO700093,3,2024-02-26,99,False
PO700093,4,2023-12-25,106,True
PO700093,5,2024-01-26,42,False
PO700093,6,2024-01-14,88,True
PO700094,1,2022-04-04,30,True
PO700094,2,2022-02-04,92,False
PO700094,3,2022-02-22,202,False
PO700094,4,2022-03-17,2,False
PO700095,1,2024-06-16,6,True
PO700095,1,2024-06-20,4,True
PO700095,2,2024-05-28,16,True
PO700095,2,2024-06-04,14,True
PO700095,3,2024-07-15,6,True
PO700095,4,2024-06-02,57,True
PO700095,5,2024-06-13,42,True
PO700095,6,2024-05-29,24,True
PO700096,1,2022-10-01,20,True
PO700096,2,2022-08-17,169,False
PO700097,1,2024-12-25,156,False
PO700097,2,2024-12-30,30,True
PO700097,3,2024-11-22,129,True
PO700097,3,2024-12-02,83,True
PO700098,1,2024-02-15,15,False
PO700098,2,2024-02-08,35,False
PO700099,1,2024-01-18,22,False
PO700099,2,2024-02-05,37,False
PO700099,3,2023-12-01,39,False
PO700100,1,2024-07-26,58,False
PO700100,2,2024-05-13,20,True
PO700100,3,2024-07-05,23,False
PO700100,4,2024-05-20,5,True
PO700101,1,2023-11-20,60,True
PO700101,2,2023-12-04,3,True
PO700101,3,2024-01-12,17,False
PO700102,1,2024-11-13,84,True
PO700102,2,2024-11-15,68,True
PO700102,3,2024-11-21,24,True
PO700102,4,2025-01-24,147,False
PO700103,1,2023-03-07,6,True
PO700103,2,2023-02-15,26,False
PO700103,3,2023-04-04,5,True
PO700104,1,2022-04-27,30,True
PO700104,1,2022-05-02,42,True
PO700105,1,2023-11-25,14,True
PO700105,2,2023-11-15,26,True
PO700105,3,2023-11-30,43,True
PO700105,4,2024-01-18,12,False
PO700105,4,2024-01-24,14,False
PO700105,5,2023-11-16,43,False
PO700106,1,2022-02-07,77,True
PO700106,2,2022-03-22,27,False
PO700106,3,2022-03-20,102,False
PO700106,4,2022-01-19,7,True
PO700106,5,2022-02-02,20,True
PO700106,6,2022-02-13,54,False
PO700106,6,2022-02-17,37,False
PO700107,1,2022-08-12,38,False
PO700107,2,2022-06-24,55,False
PO700107,3,2022-06-20,18,True
PO700108,1,2022-03-18,8,True
PO700108,2,2022-03-13,33,False
PO700109,1,2024-07-06,8,True
PO700109,2,2024-06-28,10,False
PO700109,3,2024-08-26,17,False
PO700109,3,2024-09-03,10,False
PO700109,4,2024-05-24,18,True
PO700109,4,2024-05-30,13,True
PO700110,1,2022-04-28,8,True
PO700110,2,2022-04-23,80,False
PO700110,3,2022-05-22,12,True
PO700110,4,2022-06-14,117,True
PO700111,1,2023-02-12,34,True
PO700111,1,2023-02-14,45,True
PO700111,2,2023-03-05,146,True
PO700111,3,2023-03-16,13,False
PO700111,4,2023-02-27,78,False
PO700112,1,2022-02-27,22,True
PO700112,2,2022-02-24,2,False
PO700113,1,2023-06-10,23,False
PO700113,2,2023-07-31,14,False
PO700113,3,2023-06-13,15,True
PO700113,4,2023-06-29,16,False
PO700114,1,2024-09-25,2,True
PO700115,1,2023-12-07,18,True
PO700115,2,2023-11-12,14,True
PO700115,3,2023-11-11,227,False
PO700115,4,2024-01-11,11,False
PO700115,5,2023-12-21,38,True
PO700116,1,2023-10-17,102,True
PO700116,2,2023-11-20,3,False
PO700116,3,2023-10-11,11,False
PO700117,1,2023-03-18,15,False
PO700117,1,2023-03-23,11,False
PO700117,2,2023-03-19,44,False
PO700117,3,2023-02-22,27,True
PO700117,4,2023-03-01,30,False
PO700118,1,2023-11-08,66,False
PO700118,2,2023-11-19,42,False
PO700118,3,2023-11-30,13,True
PO700118,4,2023-12-23,31,False
PO700118,5,2023-11-14,5,True
PO700118,6,2023-12-14,20,False
PO700119,1,2023-02-24,19,False
PO700119,1,2023-02-28,27,False
PO700119,2,2023-01-08,2,True
PO700119,3,2023-02-13,45,True
PO700120,1,2023-11-23,21,False
PO700120,2,2024-01-19,17,True
PO700120,3,2024-01-22,11,True
PO700121,1,2023-09-15,21,False
PO700122,1,2022-11-27,30,False
PO700122,2,2022-11-22,9,True
PO700122,2,2022-11-25,4,True
PO700122,3,2022-11-04,3,False
PO700122,4,2022-12-08,23,True
PO700122,5,2022-11-05,27,False
PO700123,1,2022-10-25,259,False
PO700123,2,2022-11-27,3,True
PO700123,3,2022-12-05,11,False
PO700123,4,2022-11-03,18,True
PO700123,5,2022-11-10,16,False
PO700124,1,2022-07-01,26,True
PO700124,2,2022-07-10,15,True
PO700124,3,2022-06-13,69,True
PO700124,4,2022-05-18,18,False
PO700125,1,2025-03-08,157,False
PO700126,1,2022-08-31,5,False
PO700127,1,2024-04-01,84,True
PO700127,2,2024-02-16,8,True
PO700127,3,2024-02-28,120,True
PO700127,3,2024-03-05,84,True
PO700127,4,2024-02-18,1,False
PO700127,5,2024-03-28,11,False
PO700128,1,2022-03-08,2,False
PO700128,1,2022-03-10,1,False
PO700129,1,2023-07-27,20,True
PO700129,2,2023-08-09,9,False
PO700129,3,2023-07-04,28,True
PO700130,1,2024-12-30,25,True
PO700130,2,2024-11-12,33,True
PO700130,3,2025-01-02,82,False
PO700131,1,2023-12-14,28,True
PO700132,1,2022-06-29,46,True
PO700132,1,2022-07-06,45,True
PO700132,2,2022-06-28,14,True
PO700132,3,2022-07-17,74,True
PO700132,4,2022-07-02,70,True
PO700132,5,2022-07-29,21,False
PO700133,1,2023-10-09,23,True
PO700133,2,2023-09-16,238,False
PO700133,3,2023-09-10,67,True
PO700133,4,2023-10-14,28,False
PO700133,5,2023-10-16,102,True
PO700133,6,2023-08-09,31,True
PO700134,1,2023-03-02,1,False
PO700135,1,2022-08-23,18,True
PO700135,2,2022-09-02,4,True
PO700135,2,2022-09-12,3,True
PO700135,3,2022-09-15,26,False
PO700135,4,2022-08-12,41,False
PO700136,1,2023-08-22,16,True
PO700136,2,2023-07-11,4,True
PO700136,2,2023-07-13,3,True
PO700137,1,2023-01-21,17,False
PO700137,2,2022-12-04,34,False
PO700137,3,2022-12-07,20,True
PO700137,3,2022-12-09,9,True
PO700137,4,2022-11-29,19,False
PO700138,1,2023-07-02,260,True
PO700138,2,2023-08-08,15,True
PO700139,1,2023-03-15,43,True
PO700139,2,2023-05-12,207,False
PO700139,3,2023-05-20,107,False
PO700139,4,2023-05-07,13,False
PO700139,5,2023-03-31,104,True
PO700140,1,2022-04-27,3,True
PO700141,1,2024-09-10,31,True
PO700141,2,2024-09-22,61,False
PO700142,1,2024-12-03,14,False
PO700142,2,2024-12-10,17,False
PO700143,1,2023-12-11,117,True
PO700143,2,2023-12-21,11,True
PO700143,3,2023-12-07,67,False
PO700143,4,2023-12-13,100,False
PO700144,1,2023-11-01,40,False
PO700144,2,2023-11-13,250,True
PO700144,3,2023-10-29,5,True
PO700144,3,2023-11-01,6,True
PO700144,4,2023-10-06,38,True
PO700144,5,2023-10-24,10,True
PO700144,5,2023-11-01,8,True
PO700144,6,2023-11-07,5,False
PO700144,6,2023-11-15,6,False
PO700145,1,2022-09-15,5,False
PO700145,2,2022-10-13,21,False
PO700146,1,2022-09-09,20,False
PO700146,2,2022-10-08,14,False
PO700146,3,2022-09-15,30,False
PO700146,4,2022-10-01,40,False
PO700146,5,2022-09-28,6,True
PO700147,1,2023-03-06,11,True
PO700147,2,2023-02-09,1,False
PO700147,3,2023-03-20,29,True
PO700147,4,2023-02-03,15,False
PO700148,1,2022-05-18,129,False
PO700148,2,2022-04-14,73,True
PO700148,3,2022-05-11,161,True
PO700149,1,2022-04-29,12,False
PO700149,2,2022-03-30,4,True
PO700149,2,2022-04-01,4,True
PO700149,3,2022-04-23,9,False
PO700149,4,2022-05-11,22,False
PO700149,4,2022-05-18,11,False
PO700149,5,2022-02-27,143,True
PO700150,1,2024-01-18,25,False
PO700150,2,2024-03-23,249,False
PO700150,3,2024-01-30,28,True
PO700151,1,2024-05-08,8,True
PO700151,2,2024-05-22,222,False
PO700151,3,2024-05-20,25,True
PO700151,4,2024-03-28,67,True
PO700152,1,2024-06-02,31,False
PO700152,2,2024-05-25,253,False
PO700152,3,2024-06-20,250,False
PO700153,1,2023-12-28,12,False
PO700153,1,2024-01-05,6,False
PO700153,2,2024-01-03,56,True
PO700153,3,2024-02-21,38,True
PO700153,3,2024-02-26,45,True
PO700153,4,2024-01-26,89,False
PO700153,5,2024-01-17,91,False
PO700153,6,2024-01-09,12,False
PO700154,1,2022-02-14,17,True
PO700154,2,2022-01-30,19,False
PO700154,3,2022-03-02,17,False
PO700154,4,2022-03-15,80,False
PO700154,5,2022-03-17,24,False
PO700154,6,2022-03-28,16,False
PO700155,1,2023-08-27,114,False
PO700155,2,2023-09-22,9,False
PO700155,3,2023-07-24,13,True
PO700155,4,2023-07-20,18,True
PO700155,5,2023-08-31,116,True
PO700155,5,2023-09-07,68,True
PO700156,1,2023-02-28,7,False
PO700157,1,2023-07-11,6,False
PO700157,2,2023-08-12,7,False
PO700157,2,2023-08-18,4,False
PO700158,1,2022-05-19,242,False
PO700158,2,2022-03-16,38,True
PO700158,3,2022-03-30,2,True
PO700158,4,2022-04-15,23,False
PO700159,1,2022-07-30,14,True
PO700159,2,2022-08-15,43,False
PO700159,2,2022-08-22,24,False
PO700159,3,2022-08-18,4,True
PO700159,3,2022-08-22,3,True
PO700159,4,2022-08-05,12,False
PO700159,4,2022-08-12,9,False
PO700159,5,2022-08-02,15,False
PO700160,1,2023-06-15,256,False
PO700160,2,2023-08-15,13,False
PO700160,3,2023-08-05,92,False
PO700160,3,2023-08-14,44,False
PO700160,4,2023-07-05,116,True
PO700160,5,2023-07-31,167,True
PO700161,1,2022-05-05,12,False
PO700161,2,2022-04-20,47,False
PO700161,2,2022-04-26,25,False
PO700162,1,2022-08-26,60,False
PO700163,1,2024-03-03,3,True
PO700163,1,2024-03-07,5,True
PO700163,2,2024-01-31,76,True
PO700163,3,2024-02-04,21,True
PO700163,4,2024-03-12,2,False
PO700163,4,2024-03-19,1,False
PO700164,1,2023-05-16,99,False
PO700165,1,2023-09-21,22,False
PO700165,2,2023-10-10,3,True
PO700165,3,2023-10-08,6,True
PO700166,1,2024-02-23,32,False
PO700166,2,2024-02-16,51,True
PO700166,3,2024-01-15,54,True
PO700166,4,2024-01-16,184,False
PO700166,5,2024-02-27,6,True
PO700166,5,2024-03-05,5,True
PO700166,6,2024-03-29,39,False
PO700167,1,2024-07-24,10,True
PO700167,2,2024-09-05,40,False
PO700167,3,2024-08-16,19,False
PO700167,4,2024-07-10,5,True
PO700167,4,2024-07-15,7,True
PO700167,5,2024-09-02,7,True
PO700168,1,2023-02-09,20,True
PO700168,2,2023-02-10,36,False
PO700168,3,2022-12-26,15,True
PO700168,4,2023-01-15,11,True
PO700168,5,2023-01-19,12,False
PO700169,1,2022-04-18,97,False
PO700169,1,2022-04-20,120,False
PO700169,2,2022-06-04,4,True
PO700170,1,2024-11-13,20,False
PO700170,2,2024-09-11,11,False
PO700170,3,2024-11-07,5,False
PO700171,1,2022-06-06,35,False
PO700171,1,2022-06-09,50,False
PO700172,1,2023-02-24,25,True
PO700172,2,2023-04-09,129,False
PO700172,2,2023-04-11,118,False
PO700172,3,2023-02-08,33,False
PO700172,4,2023-03-13,25,True
PO700172,4,2023-03-20,30,True
PO700173,1,2022-07-14,73,True
PO700173,2,2022-07-06,6,False
PO700173,3,2022-06-27,54,True
PO700174,1,2022-05-24,20,True
PO700174,2,2022-04-06,1,True
PO700174,3,2022-05-16,29,False
PO700174,4,2022-04-04,2,True
PO700174,4,2022-04-12,1,True
PO700174,5,2022-04-30,4,False
PO700174,5,2022-05-06,6,False
PO700174,6,2022-05-01,7,True
PO700175,1,2022-06-06,15,True
PO700176,1,2022-08-30,13,False
PO700176,2,2022-08-12,15,False
PO700176,3,2022-08-23,233,False
PO700177,1,2023-06-01,21,True
PO700177,2,2023-05-15,157,True
PO700177,3,2023-06-10,12,False
PO700177,4,2023-05-31,58,False
PO700177,5,2023-06-14,50,False
PO700178,1,2024-09-26,24,False
PO700178,2,2024-09-06,239,False
PO700178,3,2024-08-20,17,False
PO700178,4,2024-08-29,10,False
PO700178,5,2024-09-18,5,False
PO700178,6,2024-08-23,10,False
PO700178,6,2024-08-30,12,False
PO700179,1,2024-10-09,9,False
PO700180,1,2024-05-20,3,True
PO700180,2,2024-05-24,17,False
PO700180,3,2024-04-28,7,True
PO700180,4,2024-05-01,157,True
PO700181,1,2022-07-06,27,True
PO700181,2,2022-05-22,4,True
PO700181,2,2022-05-26,4,True
PO700181,3,2022-06-01,18,True
PO700181,4,2022-07-13,39,False
PO700182,1,2022-03-24,6,False
PO700182,2,2022-02-20,15,False
PO700183,1,2022-09-19,16,True
PO700183,2,2022-10-08,14,False
PO700183,3,2022-10-05,15,True
PO700183,4,2022-10-12,74,False
PO700183,4,2022-10-14,41,False
PO700184,1,2023-12-05,217,False
PO700184,2,2023-12-23,16,False
PO700185,1,2024-10-08,24,False
PO700185,2,2024-10-24,20,False
PO700186,1,2023-05-27,17,False
PO700186,2,2023-07-09,22,False
PO700186,3,2023-04-28,54,True
PO700186,4,2023-04-21,17,False
PO700187,1,2022-06-13,105,False
PO700187,2,2022-05-07,11,False
PO700187,3,2022-05-13,7,False
PO700187,4,2022-05-12,206,False
PO700187,5,2022-05-08,10,False
PO700188,1,2023-07-22,32,False
PO700188,1,2023-07-28,19,False
PO700189,1,2024-03-20,76,False
PO700189,2,2024-03-14,3,False
PO700189,3,2024-02-24,9,False
PO700189,4,2024-02-27,30,True
PO700190,1,2022-09-13,207,True
